Frequency,D5,D4,D3,D2,D1,D0
67.0,1,1,1,1,1,1
69.3,1,1,1,0,0,1
71.9,0,1,1,1,1,1
74.4,1,1,1,1,1,0
77.0,0,0,1,1,1,1
79.7,1,1,1,1,0,1
82.5,0,1,1,1,1,0
85.4,1,1,1,1,0,0
88.5,0,0,1,1,1,0
91.5,1,1,1,0,1,1
94.8,0,1,1,1,0,1
97.4,1,1,1,0,1,0
100.0,0,0,1,1,0,1
103.5,0,1,1,1,0,0
107.2,0,0,1,1,0,0
110.9,0,1,1,0,1,1
114.8,0,0,1,0,1,1
118.8,0,1,1,0,1,0
123.0,0,0,1,0,1,0
127.3,0,1,1,0,0,1
131.8,0,0,1,0,0,1
136.5,0,1,1,0,0,0
141.3,0,0,1,0,0,0
146.2,0,1,0,1,1,1
151.4,0,0,0,1,1,1
156.7,0,1,0,1,1,0
162.2,0,0,0,1,1,0
167.9,0,1,0,1,0,1
173.8,0,0,0,1,0,1
179.9,0,1,0,1,0,0
186.2,0,0,0,1,0,0
192.8,0,1,0,0,1,1
203.5,0,0,0,0,1,1
206.5,1,1,1,0,0,0
210.7,0,1,0,0,1,0
218.1,0,0,0,0,1,0
225.7,0,1,0,0,0,1
233.6,0,0,0,0,0,1
241.8,0,1,0,0,0,0
250.3,0,0,0,0,0,0
1000.0,1,1,0,0,1,1
